InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
n1-standard-64,64.0,240.0,,,,europe-west4,europe-west4-a,3.34669,0.59168
n1-standard-64,64.0,240.0,,,,us-east1,us-east1-b,3.03998,0.64
n1-standard-8,8.0,30.0,,,,europe-west4,europe-west4-a,0.41834,0.07396
n1-standard-8,8.0,30.0,,,,us-east1,us-east1-b,0.38,0.08
n1-standard-96,96.0,360.0,,,,europe-west4,europe-west4-a,5.02003,0.88752
n1-standard-96,96.0,360.0,,,,us-east1,us-east1-b,4.55998,0.96
n1-ultramem-160,160.0,3844.0,,,,europe-west4,europe-west4-a,23.49674,4.16523
n1-ultramem-160,160.0,3844.0,,,,us-east1,us-east1-b,21.34479,4.49365
n1-ultramem-40,40.0,961.0,,,,europe-west4,europe-west4-a,5.87418,1.04131
n1-ultramem-40,40.0,961.0,,,,us-east1,us-east1-b,5.3362,1.12341
n1-ultramem-80,80.0,1922.0,,,,europe-west4,europe-west4-a,11.74837,2.08262
n1-ultramem-80,80.0,1922.0,,,,us-east1,us-east1-b,10.67239,2.24682
n2-highcpu-16,16.0,16.0,,,,europe-west4,europe-west4-a,0.63146,0.15286
n2-highcpu-16,16.0,16.0,,,,us-east1,us-east1-b,0.57357,0.15168
n2-highcpu-2,2.0,2.0,,,,europe-west4,europe-west4-a,0.07893,0.01911
n2-highcpu-2,2.0,2.0,,,,us-east1,us-east1-b,0.0717,0.01896
n2-highcpu-32,32.0,32.0,,,,europe-west4,europe-west4-a,1.26291,0.30573
n2-highcpu-32,32.0,32.0,,,,us-east1,us-east1-b,1.14714,0.30336
n2-highcpu-4,4.0,4.0,,,,europe-west4,europe-west4-a,0.15786,0.03822
n2-highcpu-4,4.0,4.0,,,,us-east1,us-east1-b,0.14339,0.03792
n2-highcpu-48,48.0,48.0,,,,europe-west4,europe-west4-a,1.89437,0.45859
n2-highcpu-48,48.0,48.0,,,,us-east1,us-east1-b,1.7207,0.45504
n2-highcpu-64,64.0,64.0,,,,europe-west4,europe-west4-a,2.52582,0.61146
n2-highcpu-64,64.0,64.0,,,,us-east1,us-east1-b,2.29427,0.60672
n2-highcpu-8,8.0,8.0,,,,europe-west4,europe-west4-a,0.31573,0.07643
n2-highcpu-8,8.0,8.0,,,,us-east1,us-east1-b,0.28678,0.07584
n2-highcpu-80,80.0,80.0,,,,europe-west4,europe-west4-a,3.15728,0.76432
n2-highcpu-80,80.0,80.0,,,,us-east1,us-east1-b,2.86784,0.7584
n2-highcpu-96,96.0,96.0,,,,europe-west4,europe-west4-a,3.78874,0.91718
n2-highcpu-96,96.0,96.0,,,,us-east1,us-east1-b,3.44141,0.91008
n2-highmem-128,128.0,864.0,,,,europe-west4,europe-west4-a,8.48435,2.05754
n2-highmem-128,128.0,864.0,,,,us-east1,us-east1-b,7.70698,2.03776
n2-highmem-16,16.0,128.0,,,,europe-west4,europe-west4-a,1.15382,0.27987
n2-highmem-16,16.0,128.0,,,,us-east1,us-east1-b,1.04811,0.27712
n2-highmem-2,2.0,16.0,,,,europe-west4,europe-west4-a,0.14423,0.03498
n2-highmem-2,2.0,16.0,,,,us-east1,us-east1-b,0.13101,0.03464
n2-highmem-32,32.0,256.0,,,,europe-west4,europe-west4-a,2.30765,0.55974
