InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo
gpu_2x_rtx 4090 64,RTX 4090,2,64,256,0.680,Europe-PL,"{'Gpus': [{'Name': 'RTX 4090', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}"
gpu_3x_rtx 3090 38,RTX 3090,3,38,96,0.720,Europe-EE,"{'Gpus': [{'Name': 'RTX 3090', 'Manufacturer': 'NVIDIA', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}"
gpu_2x_rtx 4090 64,RTX 4090,2,64,256,0.720,Europe-PL,"{'Gpus': [{'Name': 'RTX 4090', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}"
gpu_10x_rtx 3060 256,RTX 3060,10,256,1024,0.750,Europe-PL,"{'Gpus': [{'Name': 'RTX 3060', 'Manufacturer': 'NVIDIA', 'Count': 10, 'MemoryInfo': {'SizeInMiB': 12288}}], 'TotalGpuMemoryInMiB': 12288}"
gpu_2x_rtx 5090 64,RTX 5090,2,64,256,0.980,Europe-PL,"{'Gpus': [{'Name': 'RTX 5090', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}"
gpu_3x_rtx 4090 96,RTX 4090,3,96,384,1.080,Europe-PL,"{'Gpus': [{'Name': 'RTX 4090', 'Manufacturer': 'NVIDIA', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}"
gpu_1x_rtx pro 6000 blackwell 96,RTX PRO 6000 Blackwell,1,96,384,1.390,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
gpu_1x_rtx pro 6000 blackwell 48,RTX PRO 6000 Blackwell,1,48,192,1.450,Europe-PL,"{'Gpus': [{'Name': 'RTX PRO 6000 Blackwell', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 97280}}], 'TotalGpuMemoryInMiB': 97280}"
gpu_3x_rtx 5090 96,RTX 5090,3,96,384,1.470,Europe-PL,"{'Gpus': [{'Name': 'RTX 5090', 'Manufacturer': 'NVIDIA', 'Count': 3, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}"
gpu_4x_rtx 5090 128,RTX 5090,4,128,512,1.960,Europe-PL,"{'Gpus': [{'Name': 'RTX 5090', 'Manufacturer': 'NVIDIA', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}"
gpu_5x_rtx 5090 160,RTX 5090,5,160,640,2.450,Europe-PL,"{'Gpus': [{'Name': 'RTX 5090', 'Manufacturer': 'NVIDIA', 'Count': 5, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}"
