InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
voltagepark_H100_sxm5,H100,1.0,26.0,116,1.99,dallas-usa-5,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 118784}}], 'TotalGpuMemoryInMiB': 118784}",
voltagepark_H100_sxm5x2,H100,2.0,52.0,232,3.98,dallas-usa-5,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 237568}}], 'TotalGpuMemoryInMiB': 237568}",
latitude_H100x8_NVLINk,H100,8.0,128.0,1536,14.34,dallas-usa-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1572864}}], 'TotalGpuMemoryInMiB': 1572864}",
denvr_A100_sxm4x8,A100,8.0,120.0,940,10.0,calgary-canada-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 962560}}], 'TotalGpuMemoryInMiB': 962560}",
digitalocean_H100_sxm5,H100,1.0,20.0,240,3.39,newyork-usa-2,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 245760}}], 'TotalGpuMemoryInMiB': 245760}",
digitalocean_H100_sxm5,H100,1.0,20.0,240,3.39,toronto-canada-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 245760}}], 'TotalGpuMemoryInMiB': 245760}",
crusoe_A100_80G,A100_80G,1.0,12.0,120,1.65,culpeper-usa-1,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 122880}}], 'TotalGpuMemoryInMiB': 122880}",
crusoe_A100_80Gx2,A100_80G,2.0,24.0,240,3.3,culpeper-usa-1,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 245760}}], 'TotalGpuMemoryInMiB': 245760}",
lambdalabs_A100_sxm4,A100,1.0,30.0,200,1.29,dulles-usa-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 204800}",
lambdalabs_A100_sxm4,A100,1.0,30.0,200,1.29,mumbai-india-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 204800}",
